doi,times_cited
10.1177/20563051221138753,9
10.1177/20563051221138758,4
10.1177/2056305117733224,32
10.1177/2056305120949268,1
10.1177/2056305119898778,17
10.1177/2056305120981059,16
10.1177/2056305118797724,65
10.1177/20563051231155101,5
10.1177/2056305118785638,43
10.1177/20563051231177952,1
10.1177/2056305120969912,4
10.1177/20563051231177920,3
10.1177/2056305120928485,21
10.1177/2056305120913990,1
10.1177/2056305120969877,38
10.1177/2056305118787520,28
10.1177/2056305118761201,10
10.1177/20563051241229655,0
10.1177/20563051241229657,1
10.1177/2056305115605859,21
10.1177/2056305118764429,35
10.1177/2056305119867656,19
10.1177/2056305119861807,29
10.1177/2056305118768811,17
10.1177/20563051221150404,2
10.1177/2056305119896057,7
10.1177/20563051211043212,33
10.1177/2056305119897320,20
10.1177/2056305119881695,36
10.1177/20563051231196876,2
10.1177/2056305119832588,43
10.1177/20563051231192021,2
10.1177/20563051221150406,16
10.1177/20563051231186862,0
10.1177/20563051231156363,2
10.1177/20563051221150410,8
10.1177/2056305120984459,3
10.1177/2056305116677138,0
10.1177/20563051231170606,0
10.1177/2056305118784771,18
10.1177/20563051231196879,4
10.1177/2056305118808780,12
10.1177/20563051231177951,0
10.1177/20563051211055442,10
10.1177/20563051221119475,3
10.1177/2056305120971632,37
10.1177/20563051231161296,0
10.1177/2056305121988932,41
10.1177/20563051231196880,2
10.1177/20563051221096817,6
10.1177/2056305119872953,23
10.1177/20563051231195544,0
10.1177/20563051231186368,1
10.1177/2056305115605521,49
10.1177/20563051211021367,21
10.1177/2056305115614851,56
10.1177/2056305116666306,26
10.1177/2056305118786720,117
10.1177/20563051231194586,4
10.1177/2056305119891220,30
10.1177/20563051211052906,39
10.1177/20563051211069055,7
10.1177/2056305118795879,5
10.1177/20563051211032138,1
10.1177/20563051231196897,0
10.1177/2056305120916841,39
10.1177/20563051211019004,177
10.1177/2056305118764428,83
10.1177/2056305119856700,40
10.1177/20563051211008816,5
10.1177/2056305117696522,11
10.1177/2056305120940694,22
10.1177/2056305120984445,39
10.1177/20563051211025514,6
10.1177/20563051231177962,0
10.1177/20563051211059710,27
10.1177/2056305116637103,26
10.1177/2056305118813649,44
10.1177/20563051221138939,2
10.1177/20563051231157604,2
10.1177/20563051231224401,0
10.1177/2056305119880020,2
10.1177/20563051231157300,12
10.1177/20563051221147328,5
10.1177/2056305120948251,32
