,year,country,capital
0,1970,U.S.,3.42
1,1971,U.S.,3.41
2,1972,U.S.,3.49
3,1973,U.S.,3.39
4,1974,U.S.,3.21
5,1975,U.S.,3.2
6,1976,U.S.,3.27
7,1977,U.S.,3.26
8,1978,U.S.,3.22
9,1979,U.S.,3.33
10,1980,U.S.,3.55
11,1981,U.S.,3.51
12,1982,U.S.,3.59
13,1983,U.S.,3.57
14,1984,U.S.,3.39
15,1985,U.S.,3.46
16,1986,U.S.,3.64
17,1987,U.S.,3.66
18,1988,U.S.,3.62
19,1989,U.S.,3.73
20,1990,U.S.,3.72
21,1991,U.S.,3.77
22,1992,U.S.,3.79
23,1993,U.S.,3.8
24,1994,U.S.,3.72
25,1995,U.S.,3.78
26,1996,U.S.,3.89
27,1997,U.S.,4.01
28,1998,U.S.,4.24
29,1999,U.S.,4.52
30,2000,U.S.,4.5
31,2001,U.S.,4.36
32,2002,U.S.,4.17
33,2003,U.S.,4.21
34,2004,U.S.,4.47
35,2005,U.S.,4.7
36,2006,U.S.,4.88
37,2007,U.S.,4.94
38,2008,U.S.,4.36
39,2009,U.S.,4.06
40,2010,U.S.,4.1
41,1970,Japan,2.99
42,1971,Japan,3.28
43,1972,Japan,3.73
44,1973,Japan,4.04
45,1974,Japan,3.96
46,1975,Japan,3.86
47,1976,Japan,3.75
48,1977,Japan,3.73
49,1978,Japan,3.78
50,1979,Japan,4.06
51,1980,Japan,4.34
52,1981,Japan,4.57
53,1982,Japan,4.74
54,1983,Japan,4.88
55,1984,Japan,4.86
56,1985,Japan,4.86
57,1986,Japan,5.3
58,1987,Japan,6.11
59,1988,Japan,6.56
60,1989,Japan,6.92
61,1990,Japan,6.99
62,1991,Japan,6.61
63,1992,Japan,6.27
64,1993,Japan,6.1
65,1994,Japan,6.09
66,1995,Japan,6.02
67,1996,Japan,5.86
68,1997,Japan,5.77
69,1998,Japan,5.92
70,1999,Japan,6.02
71,2000,Japan,5.96
72,2001,Japan,5.9
73,2002,Japan,5.84
74,2003,Japan,5.81
75,2004,Japan,5.71
76,2005,Japan,5.74
77,2006,Japan,5.83
78,2007,Japan,5.79
79,2008,Japan,5.87
80,2009,Japan,6.19
81,2010,Japan,6.01
82,1970,Germany,2.25
83,1971,Germany,2.2
84,1972,Germany,2.22
85,1973,Germany,2.18
86,1974,Germany,2.2
87,1975,Germany,2.29
88,1976,Germany,2.29
89,1977,Germany,2.36
90,1978,Germany,2.46
91,1979,Germany,2.49
92,1980,Germany,2.53
93,1981,Germany,2.62
94,1982,Germany,2.73
95,1983,Germany,2.8
96,1984,Germany,2.84
97,1985,Germany,2.9
98,1986,Germany,2.95
